total_count,results
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '3', 'code_canton': '90', 'code_commune': '410', 'nom_de_la_commune': 'Saint-Benoît', 'population_municipale': 36025, 'population_comptee_a_part': 301, 'population_totale': 36326, 'annee_recensement': '2012', 'annee_utilisation': '2015', 'code_insee': '97410', 'superficie': 229.79, 'statut': 'Commune', 'code_insee_commune': '97410', 'nom_com': 'Saint-Benoît', 'nom_dep': 'LA REUNION', 'nom_reg': 'LA REUNION', 'epci': '249740093', 'code_epci': '249740093', 'libepci': 'CA Intercommunale de la Réunion Est'}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '2', 'code_canton': '99', 'code_commune': '422', 'nom_de_la_commune': 'Le Tampon', 'population_municipale': 76090, 'population_comptee_a_part': 927, 'population_totale': 77017, 'annee_recensement': '2013', 'annee_utilisation': '2016', 'code_insee': '97422', 'superficie': 181.02, 'statut': 'Commune', 'code_insee_commune': '97422', 'nom_com': 'Le Tampon', 'nom_dep': 'LA REUNION', 'nom_reg': 'LA REUNION', 'epci': '249740085', 'code_epci': '249740085', 'libepci': 'CA du Sud'}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '2', 'code_canton': '94', 'code_commune': '412', 'nom_de_la_commune': 'Saint-Joseph', 'population_municipale': 37608, 'population_comptee_a_part': 545, 'population_totale': 38153, 'annee_recensement': '2015', 'annee_utilisation': '2018', 'code_insee': '97412', 'superficie': 177.85, 'statut': 'Commune', 'code_insee_commune': '97412', 'nom_com': None, 'nom_dep': None, 'nom_reg': None, 'epci': '249740085', 'code_epci': '249740085', 'libepci': 'CA du Sud'}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '3', 'code_canton': '06', 'code_commune': '406', 'nom_de_la_commune': 'La Plaine-des-Palmistes', 'population_municipale': 4518, 'population_comptee_a_part': 90, 'population_totale': 4608, 'annee_recensement': '2006', 'annee_utilisation': '2009', 'code_insee': '97406', 'superficie': 83.05, 'statut': 'Commune', 'code_insee_commune': '97406', 'nom_com': 'La Plaine-des-Palmistes', 'nom_dep': 'LA REUNION', 'nom_reg': 'LA REUNION', 'epci': None, 'code_epci': None, 'libepci': None}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '4', 'code_canton': '91', 'code_commune': '407', 'nom_de_la_commune': 'Le Port', 'population_municipale': 38279, 'population_comptee_a_part': 285, 'population_totale': 38564, 'annee_recensement': '2008', 'annee_utilisation': '2011', 'code_insee': '97407', 'superficie': 16.16, 'statut': 'Commune', 'code_insee_commune': '97407', 'nom_com': 'Le Port', 'nom_dep': 'LA REUNION', 'nom_reg': 'LA REUNION', 'epci': None, 'code_epci': None, 'libepci': None}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '4', 'code_canton': '08', 'code_commune': '408', 'nom_de_la_commune': 'La Possession', 'population_municipale': 28798, 'population_comptee_a_part': 377, 'population_totale': 29175, 'annee_recensement': '2008', 'annee_utilisation': '2011', 'code_insee': '97408', 'superficie': 118.76, 'statut': 'Commune', 'code_insee_commune': '97408', 'nom_com': None, 'nom_dep': None, 'nom_reg': None, 'epci': None, 'code_epci': None, 'libepci': None}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '1', 'code_canton': '30', 'code_commune': '418', 'nom_de_la_commune': 'Sainte-Marie', 'population_municipale': 31143, 'population_comptee_a_part': 401, 'population_totale': 31544, 'annee_recensement': '2007', 'annee_utilisation': '2010', 'code_insee': '97418', 'superficie': 88.65, 'statut': 'Commune', 'code_insee_commune': '97418', 'nom_com': None, 'nom_dep': None, 'nom_reg': None, 'epci': None, 'code_epci': None, 'libepci': None}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '2', 'code_canton': '01', 'code_commune': '401', 'nom_de_la_commune': 'Les Avirons', 'population_municipale': 11203, 'population_comptee_a_part': 179, 'population_totale': 11382, 'annee_recensement': '2013', 'annee_utilisation': '2016', 'code_insee': '97401', 'superficie': 26.23, 'statut': 'Commune', 'code_insee_commune': '97401', 'nom_com': 'Les Avirons', 'nom_dep': 'LA REUNION', 'nom_reg': 'LA REUNION', 'epci': '249740077', 'code_epci': '249740077', 'libepci': 'CA CIVIS (Communauté Intercommunale des Villes Solidaires)'}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '2', 'code_canton': '22', 'code_commune': '424', 'nom_de_la_commune': 'Cilaos', 'population_municipale': 5807, 'population_comptee_a_part': 101, 'population_totale': 5908, 'annee_recensement': '2010', 'annee_utilisation': '2013', 'code_insee': '97424', 'superficie': 84.4, 'statut': 'Commune', 'code_insee_commune': '97424', 'nom_com': 'Cilaos', 'nom_dep': 'LA REUNION', 'nom_reg': 'LA REUNION', 'epci': None, 'code_epci': None, 'libepci': None}"
264,"{'code_region': '04', 'nom_de_la_region': 'La Réunion', 'code_departement': '974', 'code_arrondissement': '3', 'code_canton': '06', 'code_commune': '406', 'nom_de_la_commune': 'La Plaine-des-Palmistes', 'population_municipale': 5213, 'population_comptee_a_part': 84, 'population_totale': 5297, 'annee_recensement': '2010', 'annee_utilisation': '2013', 'code_insee': '97406', 'superficie': 83.05, 'statut': 'Commune', 'code_insee_commune': '97406', 'nom_com': 'La Plaine-des-Palmistes', 'nom_dep': 'LA REUNION', 'nom_reg': 'LA REUNION', 'epci': None, 'code_epci': None, 'libepci': None}"
